Age,Annual Income,Occupation,AccountBalance,credit_score,Gender,Education,Active_loans,Bank_Products,Fixed Deposit,Tenure,LastMonthTrans,Networth,Married,Dependents,Vehicle,House
45,500100,Salaried,50000,760,Male,Graduate,2,5,No,11,33,100000,no,2,yes,rented
49,480000,Salaried,30000,750,Male,Graduate,2,3,Yes,10,23,800087,yes,3,no,own
37,480000,Salaried,10000,710,Male,Under Graduate,0,2,Yes,6,34,30000,yes,4,yes,rented
21,240000,Salaried,5000,700,Male,Under Graduate,1,2,No,2,25,650000,no,0,no,own
42,35000,Housewife,12500,800,Female,Graduate,1,2,Yes,8,56,10000,yes,3,yes,own
37,100000,Business,200000,800,Female,Graduate,3,5,Yes,10,32,5000000,yes,4,no,own
54,480000,Business,100000,750,Male,Under Graduate,0,1,No,11,45,4000900,yes,5,yes,own
49,1230000,Salaried,120000,720,Male,Graduate,0,3,No,14,58,8700500,yes,3,no,rented
21,300000,Other,5000,740,Male,Under Graduate,2,4,Yes,3,12,1400000,no,0,yes,rented
21,0,Other,8000,850,Male,Under Graduate,3,2,No,2,29,14050,no,0,yes,rented
22,10000,Other,5469,720,Male,Under Graduate,0,1,No,4,32,12300,no,0,no,rented
49,840000,Business,30000,750,Male,Graduate,2,1,Yes,12,67,8956700,yes,6,no,own
45,600000,Business,40000,710,Female,Graduate,0,2,Yes,10,50,4567000,yes,4,no,rented
51,1000000,Business,500000,690,Male,Graduate,1,5,Yes,20,43,4280000,yes,5,no,own
23,400000,Salaried,100000,719,Female,Post Graduate,0,3,Yes,5,21,1080000,no,0,yes,own
26,600000,Other,10000,640,Female,Graduate,0,1,Yes,5,5,3200800,yes,2,yes,own
21,120000,Salaried,200000,750,Male,Under Graduate,0,1,Yes,2,55,340000,no,0,yes,own
21,350000,Business,400000,700,Male,Post Graduate,2,1,Yes,3,36,1670000,no,0,yes,own
21,0,Other,4000,589.09375,Male,Under Graduate,0,1,Yes,3,18,0,no,0,no,own
40,1200000,Salaried,50000,589.09375,Male,Post Graduate,1,4,No,18,23,1000000,yes,4,yes,own
60,530000,Salaried,342000,589.09375,Male,Under Graduate,1,3,Yes,23,43,3000000,yes,5,no,own
25,2400000,Salaried,10000,589.09375,Female,Under Graduate,0,1,Yes,5,53,4000000,no,2,yes,own
31,480000,Business,500000,400,Male,Graduate,1,1,No,10,70,10000000,yes,3,no,rented
42,840000,Business,120000,798,Male,Under Graduate,0,5,Yes,16,54,900000,yes,4,yes,rented
45,420000,Salaried,200000,589.09375,Male,Under Graduate,2,3,Yes,19,66,3300000,yes,4,yes,rented
59,720000,Salaried,2000000,700,Male,Post Graduate,0,3,No,25,46,8000000,yes,3,yes,own
33,600000,Other,2000,700,Female,Under Graduate,0,1,No,11,15,2000000,yes,2,yes,rented
23,240000,Salaried,2000,589.09375,Female,Under Graduate,1,1,No,3,34,3000000,no,3,no,rented
38,1200000,Business,2500000,367,Male,Graduate,0,3,No,15,45,9000000,yes,4,yes,own
60,840000,Salaried,1800000,355,Male,Under Graduate,0,3,Yes,30,32,9440554,yes,3,yes,rented
75,24000,Other,3000000,589.09375,Male,Graduate,0,2,No,40,35,5043455,yes,5,yes,own
26,444000,Salaried,400000,300,Female,Under Graduate,0,2,No,4,19,667334,no,3,no,rented
50,180000,Other,100000,589.09375,Male,Graduate,2,1,No,35,9,2496505,yes,3,yes,rented
18,0,Other,2000,589.09375,Male,Graduate,1,1,No,2,32,10000,no,2,yes,own
20,0,Other,5000,589.09375,Male,Under Graduate,2,2,No,2,18,70545,no,5,no,rented
25,2000,Housewife,10000,589.09375,Female,Graduate,0,1,Yes,5,7,100000,yes,3,no,rented
40,540000,Business,1300000,378,Male,Graduate,0,3,No,13,67,2244554,yes,1,no,own
35,960000,Business,85000,500,Female,Graduate,1,2,Yes,9,57,3354434,yes,3,no,rented
50,500000,Business,88165,650,Female,Under Graduate,1,2,No,2,49,3343435,yes,5,yes,rented
28,1452000,Salaried,400543,700,Male,Graduate,2,4,No,7,48,3808000,yes,3,yes,own
46,780000,Salaried,10000,750,Male,Post Graduate,2,1,No,14,29,1900000,yes,5,no,rented
60,500000,Salaried,148000,750,Male,Under Graduate,1,3,Yes,15,45,1559000,yes,4,no,rented
43,0,Housewife,35000,720,Female,Under Graduate,2,2,No,5,10,100000,yes,0,yes,rented
34,660000,Salaried,35000,720,Male,Graduate,2,2,Yes,7,57,1640000,yes,2,yes,own
45,900000,Other,35000,680,Female,Post Graduate,1,3,No,13,25,3500000,yes,4,no,own
28,540000,Other,35000,620,Male,Under Graduate,3,3,Yes,9,19,700000,no,0,yes,own
52,1520000,Salaried,40000,700,Female,Graduate,2,3,Yes,15,52,4087970,yes,3,no,rented
30,768000,Salaried,35000,700,Female,Graduate,2,3,Yes,8,32,1856980,yes,1,yes,rented
21,840000,Salaried,200000,414,Female,Graduate,2,3,Yes,2,37,512000,no,0,no,own
48,576000,Other,100000,817,Male,Graduate,3,4,Yes,19,49,1567654,yes,5,yes,rented
42,260000,Housewife,100000,759,Female,Graduate,0,2,Yes,16,36,1028540,yes,1,no,rented
21,0,Other,800,711,Male,Graduate,0,3,Yes,1,4,0,no,0,yes,rented
21,340000,Other,100,700,Male,Under Graduate,0,2,No,2,13,560000,no,0,no,rented
51,960000,Business,310567,568,Male,Post Graduate,2,3,No,18,43,2800000,yes,4,no,rented
48,600000,Salaried,25000,589.09375,Male,Graduate,1,1,Yes,15,25,2156980,yes,5,yes,rented
63,660000,Business,506155,309,Male,Graduate,4,2,No,21,46,1878920,yes,3,yes,rented
65,840000,Other,679000,459,Male,Post Graduate,1,3,Yes,22,58,3176670,yes,5,yes,rented
47,780000,Business,540657,565,Male,Under Graduate,3,3,No,13,51,1945000,yes,3,no,rented
36,450000,Business,1260000,679,Male,Under Graduate,2,4,Yes,10,61,1234000,yes,2,yes,rented
45,300000,Salaried,200000,589.09375,Male,Under Graduate,1,1,Yes,17,23,1500000,yes,4,yes,rented
33,500000,Salaried,760560,589,Male,Under Graduate,0,4,No,7,26,2000000,yes,3,no,own
29,7500000,Salaried,450560,423,Female,Post Graduate,5,3,No,4,37,2500000,yes,2,yes,rented
34,720000,Business,678000,655,Male,Post Graduate,2,3,Yes,9,31,1000000,yes,5,no,own
24,2550000,Other,30000,400,Female,Graduate,0,1,No,2,10,1600000,no,3,no,own
28,600000,Salaried,90000,780,Male,Post Graduate,2,1,Yes,5,30,2200000,yes,4,yes,own
50,500678,Other,150000,765,Male,Graduate,3,3,Yes,18,12,899500,yes,6,yes,rented
38,800000,Salaried,860540,582,Female,Under Graduate,2,4,Yes,11,67,1365467,yes,2,no,rented
46,750000,Salaried,80000,564,Female,Post Graduate,3,3,Yes,19,49,2880076,yes,3,no,rented
41,500000,Salaried,578000,546,Female,Post Graduate,2,3,Yes,12,28,1245600,yes,5,yes,own
43,1200000,Business,670000,689,Female,Post Graduate,3,3,Yes,14,17,6734589,yes,4,no,own
22,300000,Salaried,150000,800,Male,Under Graduate,0,2,Yes,2,36,700000,no,1,no,own
56,405000,Salaried,98500,433,Male,Under Graduate,1,3,Yes,23,31,1750000,yes,6,no,own
30,3400000,Salaried,45000,786,Male,Under Graduate,2,2,Yes,6,40,1130000,yes,3,yes,rented
27,245000,Salaried,10000,700,Male,Graduate,0,2,No,3,41,400567,yes,2,yes,rented
46,250000,Other,34000,650,Male,Under Graduate,0,1,Yes,8,10,1205600,yes,4,no,rented
40,40000,Salaried,200000,836,Male,Graduate,1,3,Yes,13,39,2350000,yes,4,yes,own
22,0,Other,1100,776,Male,Under Graduate,0,2,No,1,51,23000,no,0,yes,rented
44,450000,Business,50000,850,Male,Under Graduate,0,2,No,15,64,600050,yes,3,no,own
31,500000,Business,150000,750,Male,Under Graduate,3,1,Yes,3,24,1245000,yes,7,yes,rented
30,800000,Salaried,10000,589.09375,Male,Graduate,0,1,Yes,6,49,1000000,yes,3,no,own
35,1200000,Other,20000,780,Male,Under Graduate,3,4,Yes,9,53,2500000,yes,4,yes,own
40,100000,Housewife,10000,589.09375,Female,Graduate,0,1,Yes,2,67,2700000,yes,2,yes,rented
35,400000,Salaried,200000,589.09375,Female,Under Graduate,2,1,Yes,5,34,200000,yes,1,no,rented
50,500000,Business,500000,589.09375,Male,Under Graduate,2,1,No,6,31,3400000,yes,5,yes,own
75,40000,Other,15000,589.09375,Male,Graduate,0,2,Yes,21,15,2400000,yes,3,no,own
51,480000,Other,10000,700,Male,Graduate,0,1,No,7,24,4100000,yes,3,yes,rented
32,832000,Salaried,23000,750,Male,Graduate,2,4,No,8,44,700000,yes,3,no,own
50,1000000,Salaried,500000,750,Male,Graduate,0,1,Yes,3,27,30000000,yes,8,no,rented
21,0,Other,0,589.09375,Male,Graduate,0,1,No,2,52,24000,no,0,no,rented
40,100000,Housewife,4000,589.09375,Female,Graduate,0,1,No,1,46,53000,yes,0,no,own
33,325000,Salaried,17000,600,Male,Graduate,1,2,No,7,59,1800000,yes,2,yes,own
